category,question,brand_named,answer_had_ai_overview,n_sources_cited,captured_at
beauty,best under eye cream for dark circles India,The Ordinary,yes,9,2026-09-16
beauty,best sunscreen for dry sensitive skin India,Cetaphil,yes,6,2026-09-16
beauty,best sunscreen for dry sensitive skin India,Dr. Sheth's,yes,6,2026-09-16
beauty,best sunscreen for dry sensitive skin India,Plum,yes,6,2026-09-16
beauty,best sunscreen for dry sensitive skin India,The Derma Co,yes,6,2026-09-16
beauty,best affordable Indian skincare brand for beginners,Dot & Key,yes,4,2026-09-16
beauty,best affordable Indian skincare brand for beginners,Minimalist,yes,4,2026-09-16
beauty,best affordable Indian skincare brand for beginners,Plum,yes,4,2026-09-16
beauty,best affordable Indian skincare brand for beginners,Simple,yes,4,2026-09-16
beauty,best affordable Indian skincare brand for beginners,The Derma Co,yes,4,2026-09-16
beauty,best anti ageing serum India under 1500,Hyphen,yes,6,2026-09-16
beauty,best anti ageing serum India under 1500,Pilgrim,yes,6,2026-09-16
beauty,best anti ageing serum India under 1500,Plum,yes,6,2026-09-16
beauty,best face serum for glowing skin India,Dot & Key,yes,14,2026-09-16
beauty,best face serum for glowing skin India,Minimalist,yes,14,2026-09-16
beauty,best face serum for glowing skin India,Plum,yes,14,2026-09-16
beauty,best face serum for glowing skin India,The Derma Co,yes,14,2026-09-16
beauty,best skincare products for teenage acne India,Minimalist,yes,10,2026-09-16
beauty,best skincare products for teenage acne India,Simple,yes,10,2026-09-16
beauty,best skincare products for teenage acne India,The Ordinary,yes,10,2026-09-16
beauty,best hyaluronic acid serum India,Dot & Key,yes,6,2026-09-16
beauty,best hyaluronic acid serum India,Minimalist,yes,6,2026-09-16
beauty,best hyaluronic acid serum India,The Ordinary,yes,6,2026-09-16
beauty,best face moisturiser for oily acne prone skin India,Foxtale,yes,9,2026-09-16
beauty,best face moisturiser for oily acne prone skin India,Minimalist,yes,9,2026-09-16
beauty,best face moisturiser for oily acne prone skin India,Plum,yes,9,2026-09-16
beauty,best face moisturiser for oily acne prone skin India,The Derma Co,yes,9,2026-09-16
beauty,best Indian skincare brand for sensitive skin,Dr. Sheth's,yes,2,2026-09-16
beauty,best Indian skincare brand for sensitive skin,Minimalist,yes,2,2026-09-16
beauty,best Indian skincare brand for sensitive skin,Re'Equil,yes,2,2026-09-16
beauty,best exfoliating serum for uneven skin texture India,Minimalist,yes,5,2026-09-16
beauty,best exfoliating serum for uneven skin texture India,The Derma Co,yes,5,2026-09-16
beauty,best exfoliating serum for uneven skin texture India,The Ordinary,yes,5,2026-09-16
beauty,best men's face wash for oily skin India,Garnier,yes,6,2026-09-16
beauty,best men's face wash for oily skin India,Minimalist,yes,6,2026-09-16
beauty,best men's face wash for oily skin India,Nivea,yes,6,2026-09-16
beauty,best men's face wash for oily skin India,WOW Skin Science,yes,6,2026-09-16
beauty,best vitamin C serum India under 500,Chemist at Play,yes,4,2026-09-16
beauty,best vitamin C serum India under 500,Garnier,yes,4,2026-09-16
beauty,best vitamin C serum India under 500,Minimalist,yes,4,2026-09-16
beauty,best vitamin C serum India under 500,Plum,yes,4,2026-09-16
beauty,best skincare combo for pigmentation India,Fixderma,yes,8,2026-09-16
beauty,best skincare combo for pigmentation India,Minimalist,yes,8,2026-09-16
beauty,best skincare combo for pigmentation India,The Derma Co,yes,8,2026-09-16
beauty,Minimalist vs The Derma Co which is better,Minimalist,yes,12,2026-09-16
beauty,Minimalist vs The Derma Co which is better,The Derma Co,yes,12,2026-09-16
beauty,can I use niacinamide and vitamin C together,,yes,18,2026-09-16
beauty,how to build a skincare routine for oily skin India,Simple,yes,9,2026-09-16
nutrition,best whey protein in India for beginners,AS-IT-IS Nutrition,yes,7,2026-09-16
nutrition,best whey protein in India for beginners,Avvatar,yes,7,2026-09-16
nutrition,best whey protein in India for beginners,MuscleBlaze,yes,7,2026-09-16
nutrition,best whey protein in India for beginners,Nakpro,yes,7,2026-09-16
nutrition,best whey protein in India for beginners,Optimum Nutrition,yes,7,2026-09-16
nutrition,best protein powder for women India,Fast&Up,yes,16,2026-09-16
nutrition,best protein powder for women India,MuscleBlaze,yes,16,2026-09-16
nutrition,best protein powder for women India,MyProtein,yes,16,2026-09-16
nutrition,best protein powder for women India,Nakpro,yes,16,2026-09-16
nutrition,best protein powder for women India,OZiva,yes,16,2026-09-16
nutrition,best protein powder for women India,Optimum Nutrition,yes,16,2026-09-16
nutrition,best creatine monohydrate brand in India,AS-IT-IS Nutrition,yes,4,2026-09-16
nutrition,best creatine monohydrate brand in India,MuscleBlaze,yes,4,2026-09-16
nutrition,best creatine monohydrate brand in India,Nutrabay,yes,4,2026-09-16
nutrition,best creatine monohydrate brand in India,Optimum Nutrition,yes,4,2026-09-16
nutrition,best multivitamin for men India,GNC,yes,10,2026-09-16
nutrition,best multivitamin for men India,MuscleBlaze,yes,10,2026-09-16
nutrition,best omega 3 fish oil supplement India,GNC,yes,8,2026-09-16
nutrition,best omega 3 fish oil supplement India,MuscleBlaze,yes,8,2026-09-16
nutrition,best omega 3 fish oil supplement India,Neuherbs,yes,8,2026-09-16
nutrition,best omega 3 fish oil supplement India,TrueBasics,yes,8,2026-09-16
nutrition,best vitamin D3 supplement India,Carbamide Forte,yes,18,2026-09-16
nutrition,best magnesium supplement for sleep India,Wellbeing Nutrition,yes,16,2026-09-16
nutrition,best ashwagandha supplement India,Carbamide Forte,yes,22,2026-09-16
nutrition,best whey protein isolate India,Dymatize,yes,8,2026-09-16
nutrition,best whey protein isolate India,MuscleBlaze,yes,8,2026-09-16
nutrition,best whey protein isolate India,Nakpro,yes,8,2026-09-16
nutrition,best collagen supplement India for skin,Wellbeing Nutrition,yes,9,2026-09-16
nutrition,best iron supplement for women India,Carbamide Forte,yes,18,2026-09-16
nutrition,best iron supplement for women India,HealthKart,yes,18,2026-09-16
nutrition,best probiotic supplement for gut health India,Carbamide Forte,yes,5,2026-09-16
nutrition,best probiotic supplement for gut health India,Wellbeing Nutrition,yes,5,2026-09-16
nutrition,best protein bar India healthy,MuscleBlaze,yes,15,2026-09-16
nutrition,best supplements for PCOS India,Carbamide Forte,yes,10,2026-09-16
nutrition,best protein powder India under 2000,Nakpro,yes,5,2026-09-16
nutrition,best multivitamin for women India,GNC,yes,14,2026-09-16
nutrition,best multivitamin for women India,OZiva,yes,14,2026-09-16
nutrition,best zinc supplement India immunity,Carbamide Forte,yes,11,2026-09-16
nutrition,best zinc supplement India immunity,Fast&Up,yes,11,2026-09-16
nutrition,best whey protein for weight loss India,Dymatize,yes,12,2026-09-16
nutrition,best whey protein for weight loss India,Isopure,yes,12,2026-09-16
nutrition,best whey protein for weight loss India,MuscleBlaze,yes,12,2026-09-16
nutrition,best whey protein for weight loss India,Optimum Nutrition,yes,12,2026-09-16
nutrition,MuscleBlaze vs Optimum Nutrition which is better India,MuscleBlaze,yes,6,2026-09-16
nutrition,MuscleBlaze vs Optimum Nutrition which is better India,Optimum Nutrition,yes,6,2026-09-16
nutrition,how much protein per day for Indian vegetarian,,yes,10,2026-09-16
nutrition,is creatine safe for beginners in India,,yes,9,2026-09-16
